timestamp_vn,symbol,last_price,price_change_pct_1m,rsi14,macd,macd_signal,volume_ratio,bb_position,status
2026-04-25T10:05:23.347+07:00,SILVER_USDT,75.71,0.0,58.5219,0.00538366,0.00511417,0.2033,INSIDE,NO_SIGNAL
2026-04-25T10:05:25.992+07:00,XRP_USDT,1.4337,0.007,51.3388,-0.00026535,-0.00041378,3.788,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:05:29.246+07:00,UKOIL_USDT,100.474,-0.0169,51.0246,0.01410681,0.01819457,0.0455,INSIDE,NO_SIGNAL
2026-04-25T10:05:32.254+07:00,ENA_USDT,0.10919,0.055,49.0509,-2.351e-05,-1.44e-06,0.3085,INSIDE,NO_SIGNAL
2026-04-25T10:05:35.366+07:00,BCH_USDT,455.41,0.011,72.3929,0.08534984,0.05499347,0.4502,ABOVE_UPPER,SIGNAL
2026-04-25T10:05:39.267+07:00,ZEC_USDT,356.28,-0.0196,50.3171,-0.07066412,-0.02775548,0.0037,INSIDE,NO_SIGNAL
2026-04-25T10:05:42.171+07:00,DOGE_USDT,0.09845,0.0102,49.049,-1.411e-05,-1.238e-05,0.084,INSIDE,NO_SIGNAL
2026-04-25T10:05:45.303+07:00,LINK_USDT,9.412,-0.0106,53.0524,-1.812e-05,-0.00031316,0.0021,INSIDE,NO_SIGNAL
2026-04-25T10:06:21.400+07:00,BTC_USDT,77613.1,0.0169,66.9409,6.61830873,3.33162262,1.9578,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:06:23.439+07:00,XAUT_USDT,4693.7,0.0107,58.164,0.08184922,0.05592756,1.1351,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:06:25.363+07:00,SOL_USDT,86.32,0.0348,67.4203,0.01732222,0.0085785,0.5977,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:06:28.463+07:00,PEPE_USDT,3.89e-06,0.0695,61.1526,0.0,0.0,1.1557,ABOVE_UPPER,NO_SIGNAL
